ind,pheno,snp_10445,snp_13895,snp_15121,genome_cov,erv_1,erv_2,erv_3,erv_4,erv_5,erv_6,erv_7,erv_8,erv_9,erv_10,scaf286,scaf286_10000_15500,scaf286_10000_17000,hk_gene_scaf149,hk_gene_scaf355,hk_gene_scaf156,hk_gene_scaf237,hk_gene_scaf001,hk_gene_exon11,hk_gene_exon10,hk_gene_exon9,hk_gene_exon8,hk_gene_exon7,hk_gene_exon6,hk_gene_exon5,hk_gene_exon4,hk_gene_exon3,hk_gene_exon2,hk_gene_exon1,vs149,vs355,vs156,vs237,vs001,exon11,exon10,exon9,exon8,exon7,exon6,exon5,exon4,exon3,exon2,exon1,
221,s,0,,,14.5,8.19255,4.56859,5.86667,5.35503,4.95968,6.21101,6.14126,14.2289,13.5226,8.64686,12.4239,4.88491,6.21303,12.6483,9.60559,11.8186,15.947,13.0749,5.01,15.1098,12.6494,11.78,10,11.6228,15.2135,13.4,10.9694,6.11905,10.9851,-0.442782012,-4.72068,-6.93369,-11.06209,-8.18999,-0.12509,-10.22489,-7.76449,-6.89509,-5.11509,-6.73789,-10.32859,-8.51509,-6.08449,-1.23414,-6.10019,2.589259577
369,fm,,,,25.6,3.44248,1,1,1,0,0,0,16.213,8.8051,3.81905,18.1685,1.90909,7.96887,15.8928,8.07292,12.8719,17.7945,20.6802,17.8,15.7317,11.7532,17.1533,11.25,17.5439,18.0337,11.8857,10.5408,1.57576,3.8209,-13.98371,-6.16383,-10.96281,-15.88541,-18.77111,-15.89091,-13.82261,-9.84411,-15.24421,-9.34091,-15.63481,-16.12461,-9.97661,-8.63171,0.33333,-1.91181,8.324803964
4307,fm,0,0,0,12.8,7.98758,5.7687,7.47619,4.85799,3.312,5.58716,6.8646,11.3266,6.06048,4.0495,10.8024,5.88776,6.12381,16.7995,8.65302,15.2445,18.0994,10.7063,8.39,10.1829,14.013,8.42,9.5375,8.35965,8.74157,16.9429,7.34694,5.54762,9.16418,-10.91174,-2.76526,-9.35674,-12.21164,-4.81854,-2.50224,-4.29514,-8.12524,-2.53224,-3.64974,-2.47189,-2.85381,-11.05514,-1.45918,0.34014,-3.27642,2.853292254
4312,s,0,,,8.3,5.12422,5.76539,10.1429,4.50888,3.1129,6.25688,7.71049,5.55758,7.90909,7.27152,7.02455,5.84174,6.21002,8.34159,5,7.9051,10.8806,6.53822,2.63,7.87805,8.07792,6.37333,4.975,5.92105,7.34831,10.1238,7.19388,2.40476,2.35714,-2.49985,0.84174,-2.06336,-5.03886,-0.69648,3.21174,-2.03631,-2.23618,-0.53159,0.86674,-0.07931,-1.50657,-4.28206,-1.35214,3.43698,3.4846,1.427929007
4313,fm,,,,11.5,1,1,0,0,0,0,0,13.3611,4.95676,6.86325,8.51613,1.01198,6.43735,17.3533,11.7225,16.2375,22.0115,10.8963,3.9,9.73171,9.09091,6.03333,9.0875,8.92982,9.02247,12.2952,10.7857,6.11905,5.64179,-16.34132,-10.71052,-15.22552,-20.99952,-9.88432,-2.88802,-8.71973,-8.07893,-5.02135,-8.07552,-7.91784,-8.01049,-11.28322,-9.77372,-5.10707,-4.62981,17.14786853
4320,fm,,,,11,7.6087,5.14729,5.17143,1.84706,1.69231,5.34862,4.62762,9.03646,10.3926,5.2234,9.58826,5.01174,5.61556,13.9147,10.1933,13.9556,18.3457,10.2555,6.77,8.69512,5.81818,5.00667,7.6125,6.31579,7.98876,10.5333,7,2.90476,5.04478,-8.90296,-5.18156,-8.94386,-13.33396,-5.24376,-1.75826,-3.68338,-0.80644,0.00507,-2.60076,-1.30405,-2.97702,-5.52156,-1.98826,2.10698,-0.03304,2.776420964
30356,s,,,,17.5,2.50746,1,0,0,0,0,0,13.2581,10.6461,4.87379,11.7842,2.22222,10.6028,11.8474,8.30456,11.423,14.9647,13.7243,7.32,5.59756,5.20779,11.7067,14.3375,6.98246,9.86517,7.1619,10.7653,5.2381,7.95522,-9.62518,-6.08234,-9.20078,-12.74248,-11.50208,-5.09778,-3.37534,-2.98557,-9.48448,-12.11528,-4.76024,-7.64295,-4.93968,-8.54308,-3.01588,-5.733,5.331335331
32010,fm,0,0,0,18.5,10.323,6.93733,8.82075,6.4142,3.83065,6.80734,6.17762,13.84,15.0713,7.67987,13.5777,6.8518,7.77779,12.0166,7.53959,12.1004,14.1429,16.2283,7.24,11.7439,5.06494,10.1733,12.575,11.4825,7.17978,13.8667,11.0714,6.88095,3.86567,-5.1648,-0.68779,-5.2486,-7.2911,-9.3765,-0.3882,-4.8921,1.78686,-3.3215,-5.7232,-4.6307,-0.32798,-7.0149,-4.2196,-0.02915,2.98613,1.753787326
32019,fm,0,0,,11.4,6.5528,4.10538,2.88571,1.56805,1.78333,5.62385,4.0965,6.19697,7.55,5.01987,7.56844,3.9788,4.41485,15.2878,10.8338,14.0173,17.0007,9.21922,1.46875,3.56098,6.98701,3.12667,3.925,7.31579,7.19101,4.4381,7.94898,2.09524,6.46269,-11.309,-6.855,-10.0385,-13.0219,-5.24042,2.51005,0.41782,-3.00821,0.85213,0.0538,-3.33699,-3.21221,-0.4593,-3.97018,1.88356,-2.48389,3.842314266
32047,s,,,,21.2,4.65278,0,0,0,0,0,0,17.6377,11.6071,7.75207,17.8184,4.82667,13.4928,12.9222,8.88224,11.7517,15.5315,16.9755,11.66,11.939,14.7922,15.1,17.925,11.6316,10.5618,10.2476,17.2755,5.61905,3.79104,-8.09553,-4.05557,-6.92503,-10.70483,-12.14883,-6.83333,-7.11233,-9.96553,-10.27333,-13.09833,-6.80493,-5.73513,-5.42093,-12.44883,-0.79238,1.03563,2.677249532
32054,fm,0,0,,18,6.56522,6.48456,6.54286,3.6213,2.37607,4.29358,7.25315,17.1508,14.0909,7.15842,11.5181,6.12396,7.34665,23.8265,12.3396,22.1241,25.2438,13.4765,6.08,10.4268,12.1039,8.04,16.1875,13.5,9.46067,18.8476,11.398,4.61905,8.8806,-17.70254,-6.21564,-16.00014,-19.11984,-7.35254,0.04396,-4.30284,-5.97994,-1.91604,-10.06354,-7.37604,-3.33671,-12.72364,-5.27404,1.50491,-2.75664,3.890701442
32098,fm,0,0,0,14.9,8.80124,4.52049,3.66667,4.42604,1.84677,9.30275,6.46853,9.32161,12.2019,6.42053,10.22,4.82345,5.71674,19.0133,13.7935,16.8483,20.8184,13.3329,9.48,12.4024,8.66234,6.7,7.85,11.8421,9.66292,11.6952,6.54082,0,4.07463,-14.18985,-8.97005,-12.02485,-15.99495,-8.50945,-4.65655,-7.57895,-3.83889,-1.87655,-3.02655,-7.01865,-4.83947,-6.87175,-1.71737,4.82345,0.74882,3.941846604
32103,fm,0,0,,14.1,7.67901,5.77577,3.69524,3.52663,4.856,2.55963,5.2507,9.98995,6.25325,6.82838,11.2735,5.50155,5.81322,9.98319,5.25068,7.96419,11.2048,11.7994,10.71,5.81707,10.0649,6.34667,13.4375,9.77193,7.46067,6.97143,8.88776,2.33333,7.49254,-4.48164,0.25087,-2.46264,-5.70325,-6.29785,-5.20845,-0.31552,-4.56335,-0.84512,-7.93595,-4.27038,-1.95912,-1.46988,-3.38621,3.16822,-1.99099,1.814614063
32171,s,1,1,1,17.1,14.4099,6.83561,5.49524,2.46316,2.85484,6.10092,5.42039,12.1862,8.22414,8.10891,13.6822,6.67362,7.06105,20.7711,14.7716,19.5713,24.5046,16.4882,7.32,7.63415,15.1948,17.5733,12.8375,14.2544,9.48315,12.8762,10.0102,3.92857,10.0597,-14.09748,-8.09798,-12.89768,-17.83098,-9.81458,-0.64638,-0.96053,-8.52118,-10.89968,-6.16388,-7.58078,-2.80953,-6.20258,-3.33658,2.74505,-3.38608,3.112418747
32182,s,1,1,1,16.4,5.56173,4.86218,4.78095,3.50893,2.95146,6.33945,6.94421,17.2377,12.9826,6.26403,11.868,5.01537,6.12668,11.005,9.11136,10.5063,12.4436,13.1188,13.79,9.36585,9.16883,13.4467,14.125,10.3333,6.5618,7.91429,8.23469,4.35714,3.77612,-5.98963,-4.09599,-5.49093,-7.42823,-8.10343,-8.77463,-4.35048,-4.15346,-8.43133,-9.10963,-5.31793,-1.54643,-2.89892,-3.21932,0.65823,1.23925,2.194254861
37690,fm,0,0,0,21.3,13.3789,8.05282,10.1238,2.12821,4.69355,8.9633,10.1832,14.1566,10.9482,7.59406,16.303,8.18993,8.78223,7.83643,6.16286,7.04091,8.55801,18.69,10.56,16.9268,26.7273,19.2533,20.0875,11.8158,10.2809,14.2286,18.898,3.64286,9.8806,0.3535,2.02707,1.14902,-0.36808,-10.50007,-2.37007,-8.73687,-18.53737,-11.06337,-11.89757,-3.62587,-2.09097,-6.03867,-10.70807,4.54707,-1.69067,0.956837238
41329,s,,,,12,3.36047,0,0,0,0,0,0,9.09091,6.29759,7.08163,8.80985,3.50562,7.37467,10.264,7.40147,9.18444,11.7825,9.83964,4.48,5.95122,2.18182,9.96667,13.0375,4.83333,2.80899,8.84762,3.65306,2.88095,3.97015,-6.75838,-3.89585,-5.67882,-8.27688,-6.33402,-0.97438,-2.4456,1.3238,-6.46105,-9.53188,-1.32771,0.69663,-5.342,-0.14744,0.62467,-0.46453,2.927870106
41330,s,1,1,,24.9,18.1988,7.4817,10.6857,3.9645,1,10.5046,9.96095,11.79,16.9827,10.9538,20.1896,7.7484,9.00301,9.88387,6.58458,9.31366,10.9508,19.9796,12.22,14.878,17.4286,16.1533,19.825,23.8421,17.7978,20.5143,16.8367,7.11905,8.0597,-2.13547,1.16382,-1.56526,-3.2024,-12.2312,-4.4716,-7.1296,-9.6802,-8.4049,-12.0766,-16.0937,-10.0494,-12.7659,-9.0883,0.62935,-0.3113,1.275601414
6424512,s,0,0,0,23.3,14.087,9.33737,15.3143,5.34911,4.83065,14.7156,9.29371,15.98,11.0605,11.4653,17.885,9.48373,9.9577,21.5579,16.6432,20.8978,24.836,21.2387,21.92,19.9512,16.5325,25.9333,12.65,21.9298,14.0562,21.4,19.1735,8.40476,12.4925,-12.07417,-7.15947,-11.41407,-15.35227,-11.75497,-12.43627,-10.46747,-7.04877,-16.44957,-3.16627,-12.44607,-4.57247,-11.91627,-9.68977,1.07897,-3.00877,2.273145693
6530361,s,,,,10.2,1,0,0,0,0,0,0.992593,12.75,4.92529,2.21649,8.1116,0.987654,5.70526,9.04241,6.76991,7.92451,10.1405,10.0107,6.66,7.26829,4.01282,7.62,8.9875,8.19298,7.25843,11.2381,4.77551,2.69048,1,-8.054756,-5.782256,-6.936856,-9.152846,-9.023046,-5.672346,-6.280636,-3.025166,-6.632346,-7.999846,-7.205326,-6.270776,-10.250446,-3.787856,-1.702826,-0.012346,9.155443101
