Var1,temp1,temp2,temp3,pop1,Var2,temp4,temp5,temp6,pop2,popcomp,pop_comp,Qual_ecology_score,APS,Correlation,Ecology,temp,Geography,combined,APS2,comparison,least.cost.distance,euc.distance
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,boot,lake,boot lake,bea lake_boot lake,bea_lake_boot_lake,3,Allopatric,0.382397528, Same_Ecology, bea    boot  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_boot lake,2668.239522,1977
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,constance,lake,constance lake,bea lake_constance lake,bea_lake_constance_lake,3,Allopatric,0.296632765, Same_Ecology, bea    constance  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_bea lake_pacific_constance lake,18486.16003,7758
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,geneva,lake,geneva lake,bea lake_geneva lake,bea_lake_geneva_lake,3,Allopatric,0.222210826, Same_Ecology, bea    geneva  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_bea lake_pacific_geneva lake,16589.94919,7827
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,hadsten,lake,hadsten lake,bea lake_hadsten lake,bea_lake_hadsten_lake,3,Allopatric,0.166468738, Same_Ecology, bea    hadsten  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_bea lake_pacific_hadsten lake,12632.6984,6785
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,hald,lake,hald lake,bea lake_hald lake,bea_lake_hald_lake,3,Allopatric,0.196214416, Same_Ecology, bea    hald  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_bea lake_pacific_hald lake,12357.53431,6771
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,joes,lake,joes lake,bea lake_joes lake,bea_lake_joes_lake,3,Allopatric,0.390381176, Same_Ecology, bea    joes  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_joes lake,1986.18092,1858
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,misty,lake,misty lake,bea lake_misty lake,bea_lake_misty_lake,3,Allopatric,0.531564384, Same_Ecology, bea    misty  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_misty lake,1992.548631,1865
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,mud,lake,mud lake,bea lake_mud lake,bea_lake_mud_lake,3,Allopatric,0.809787464, Same_Ecology, bea    mud  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_mud lake,14.14844902,43
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,pcr,lake,pcr lake,bea lake_pcr lake,bea_lake_pcr_lake,3,Allopatric,0.500018307, Same_Ecology, bea    pcr  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_pcr lake,2763.52171,2757
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,bea,lake,bea lake,pacific,marine,roberts,lake,roberts lake,bea lake_roberts lake,bea_lake_roberts_lake,3,Allopatric,0.53416961, Same_Ecology, bea    roberts  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_bea lake_pacific_roberts lake,2668.239522,1967
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,constance,lake,constance lake,boot lake_constance lake,boot_lake_constance_lake,3,Allopatric,0.432584991, Same_Ecology, boot    constance  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot lake_pacific_constance lake,20648.0939,8347
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,geneva,lake,geneva lake,boot lake_geneva lake,boot_lake_geneva_lake,3,Allopatric,0.373681037, Same_Ecology, boot    geneva  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot lake_pacific_geneva lake,18751.88307,8339
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,hadsten,lake,hadsten lake,boot lake_hadsten lake,boot_lake_hadsten_lake,3,Allopatric,0.128107305, Same_Ecology, boot    hadsten  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot lake_pacific_hadsten lake,14794.63227,7496
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,hald,lake,hald lake,boot lake_hald lake,boot_lake_hald_lake,3,Allopatric,0.139727712, Same_Ecology, boot    hald  , Diff_Ocean,Same_Ecology_Diff_Ocean,Allopatric,pacific_boot lake_pacific_hald lake,14519.46818,7470
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,joes,lake,joes lake,boot lake_joes lake,boot_lake_joes_lake,3,Allopatric,0.508131679, Same_Ecology, boot    joes  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot lake_pacific_joes lake,874.3524653,145
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,misty,lake,misty lake,boot lake_misty lake,boot_lake_misty_lake,3,Allopatric,0.60285225, Same_Ecology, boot    misty  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot lake_pacific_misty lake,883.6852253,136
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,mud,lake,mud lake,boot lake_mud lake,boot_lake_mud_lake,3,Allopatric,0.390554439, Same_Ecology, boot    mud  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot lake_pacific_mud lake,2682.387971,1937
,,,,,,,,,,,,,,,,,,,,,,
pacific,marine,boot,lake,boot lake,pacific,marine,pcr,lake,pcr lake,boot lake_pcr lake,boot_lake_pcr_lake,3,Allopatric,0.507250846, Same_Ecology, boot    pcr  , Same_Ocean,Same_Ecology_Same_Ocean,Allopatric,pacific_boot lake_pacific_pcr lake,875.7044239,800
,,,,,,,,,,,,,,,,,,,,,,
