pop1,type1,pop2,type2,pop3,type3,pop4,type4,Comparison,Correlation,comparison
boot,lake,joes,lake,misty,lake,roberts,lake,Non Divergent Selection,0.051275954,boot_joes_misty_roberts
boot,lake,joes,lake,pcr,lake,misty,lake,Non Divergent Selection,0.037963849,boot_joes_pcr_misty
boot,lake,joes,lake,pcr,lake,roberts,lake,Non Divergent Selection,0.014507995,boot_joes_pcr_roberts
boot,lake,misty,lake,joes,lake,roberts,lake,Non Divergent Selection,0.064373714,boot_misty_joes_roberts
boot,lake,misty,lake,pcr,lake,joes,lake,Non Divergent Selection,0.054733426,boot_misty_pcr_joes
boot,lake,misty,lake,pcr,lake,roberts,lake,Non Divergent Selection,0.085706702,boot_misty_pcr_roberts
boot,lake,roberts,lake,joes,lake,misty,lake,Non Divergent Selection,0.075990217,boot_roberts_joes_misty
boot,lake,roberts,lake,pcr,lake,joes,lake,Non Divergent Selection,0.040501322,boot_roberts_pcr_joes
boot,lake,roberts,lake,pcr,lake,misty,lake,Non Divergent Selection,0.064700211,boot_roberts_pcr_misty
joes,lake,misty,lake,pcr,lake,boot,lake,Non Divergent Selection,0.008076337,joes_misty_pcr_boot
joes,lake,misty,lake,pcr,lake,roberts,lake,Non Divergent Selection,-0.027490153,joes_misty_pcr_roberts
joes,lake,roberts,lake,pcr,lake,boot,lake,Non Divergent Selection,0.036946602,joes_roberts_pcr_boot
joes,lake,roberts,lake,pcr,lake,misty,lake,Non Divergent Selection,0.01436443,joes_roberts_pcr_misty
misty,lake,roberts,lake,pcr,lake,boot,lake,Non Divergent Selection,0.075665316,misty_roberts_pcr_boot
misty,lake,roberts,lake,pcr,lake,joes,lake,Non Divergent Selection,0.028705028,misty_roberts_pcr_joes
pacific,marine,bea,lake,pacific,marine,boot,lake,Parallel Divergent Selection,0.382397528,pacific_bea_pacific_boot
pacific,marine,bea,lake,pacific,marine,boot,stream,Parallel Divergent Selection,0.455072714,pacific_bea_pacific_boot
pacific,marine,bea,lake,pacific,marine,joes,lake,Parallel Divergent Selection,0.390381176,pacific_bea_pacific_joes
pacific,marine,bea,lake,pacific,marine,joes,stream,Parallel Divergent Selection,0.419157071,pacific_bea_pacific_joes
pacific,marine,bea,lake,pacific,marine,lq,limnetic,Parallel Divergent Selection,0.302293672,pacific_bea_pacific_lq
pacific,marine,bea,lake,pacific,marine,lq,benthic,Parallel Divergent Selection,0.460711155,pacific_bea_pacific_lq
pacific,marine,bea,lake,pacific,marine,misty,stream,Parallel Divergent Selection,0.53130318,pacific_bea_pacific_misty
pacific,marine,bea,lake,pacific,marine,misty,lake,Parallel Divergent Selection,0.531564384,pacific_bea_pacific_misty
pacific,marine,bea,lake,pacific,marine,mud,lake,Parallel Divergent Selection,0.809787464,pacific_bea_pacific_mud
pacific,marine,bea,lake,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.421248604,pacific_bea_pacific_pax
pacific,marine,bea,lake,pacific,marine,pax,benthic,Parallel Divergent Selection,0.469829903,pacific_bea_pacific_pax
pacific,marine,bea,lake,pacific,marine,pcr,lake,Parallel Divergent Selection,0.500018307,pacific_bea_pacific_pcr
pacific,marine,bea,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.436145147,pacific_bea_pacific_pri
pacific,marine,bea,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.492221043,pacific_bea_pacific_pri
pacific,marine,bea,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.517484229,pacific_bea_pacific_roberts
pacific,marine,bea,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.53416961,pacific_bea_pacific_roberts
pacific,marine,bea,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.449498241,pacific_bea_pacific_wc
pacific,marine,boot,lake,pacific,marine,joes,lake,Parallel Divergent Selection,0.508131679,pacific_boot_pacific_joes
pacific,marine,boot,stream,pacific,marine,joes,lake,Parallel Divergent Selection,0.521088537,pacific_boot_pacific_joes
pacific,marine,boot,lake,pacific,marine,joes,stream,Parallel Divergent Selection,0.538105785,pacific_boot_pacific_joes
pacific,marine,boot,stream,pacific,marine,joes,stream,Parallel Divergent Selection,0.563243585,pacific_boot_pacific_joes
pacific,marine,boot,lake,pacific,marine,lq,limnetic,Parallel Divergent Selection,0.263968437,pacific_boot_pacific_lq
pacific,marine,boot,lake,pacific,marine,lq,benthic,Parallel Divergent Selection,0.326508357,pacific_boot_pacific_lq
pacific,marine,boot,stream,pacific,marine,lq,limnetic,Parallel Divergent Selection,0.347490621,pacific_boot_pacific_lq
pacific,marine,boot,stream,pacific,marine,lq,benthic,Parallel Divergent Selection,0.472815192,pacific_boot_pacific_lq
pacific,marine,boot,lake,pacific,marine,misty,stream,Parallel Divergent Selection,0.596701336,pacific_boot_pacific_misty
pacific,marine,boot,lake,pacific,marine,misty,lake,Parallel Divergent Selection,0.60285225,pacific_boot_pacific_misty
pacific,marine,boot,stream,pacific,marine,misty,stream,Parallel Divergent Selection,0.640711509,pacific_boot_pacific_misty
pacific,marine,boot,stream,pacific,marine,misty,lake,Parallel Divergent Selection,0.641493134,pacific_boot_pacific_misty
pacific,marine,boot,lake,pacific,marine,mud,lake,Parallel Divergent Selection,0.390554439,pacific_boot_pacific_mud
pacific,marine,boot,stream,pacific,marine,mud,lake,Parallel Divergent Selection,0.49095873,pacific_boot_pacific_mud
pacific,marine,boot,lake,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.301784318,pacific_boot_pacific_pax
pacific,marine,boot,lake,pacific,marine,pax,benthic,Parallel Divergent Selection,0.321340298,pacific_boot_pacific_pax
pacific,marine,boot,stream,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.422031163,pacific_boot_pacific_pax
pacific,marine,boot,stream,pacific,marine,pax,benthic,Parallel Divergent Selection,0.475200511,pacific_boot_pacific_pax
pacific,marine,boot,lake,pacific,marine,pcr,lake,Parallel Divergent Selection,0.507250846,pacific_boot_pacific_pcr
pacific,marine,boot,stream,pacific,marine,pcr,lake,Parallel Divergent Selection,0.529261201,pacific_boot_pacific_pcr
pacific,marine,boot,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.343754193,pacific_boot_pacific_pri
pacific,marine,boot,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.344055097,pacific_boot_pacific_pri
pacific,marine,boot,stream,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.457705215,pacific_boot_pacific_pri
pacific,marine,boot,stream,pacific,marine,pri,benthic,Parallel Divergent Selection,0.485374561,pacific_boot_pacific_pri
pacific,marine,boot,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.606019032,pacific_boot_pacific_roberts
pacific,marine,boot,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.637909882,pacific_boot_pacific_roberts
pacific,marine,boot,stream,pacific,marine,roberts,lake,Parallel Divergent Selection,0.645041308,pacific_boot_pacific_roberts
pacific,marine,boot,stream,pacific,marine,roberts,stream,Parallel Divergent Selection,0.648391007,pacific_boot_pacific_roberts
pacific,marine,boot,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.471620604,pacific_boot_pacific_wc
pacific,marine,boot,stream,pacific,marine,wc,stream,Parallel Divergent Selection,0.474892736,pacific_boot_pacific_wc
pacific,marine,joes,lake,pacific,marine,lq,limnetic,Parallel Divergent Selection,0.226740012,pacific_joes_pacific_lq
pacific,marine,joes,stream,pacific,marine,lq,limnetic,Parallel Divergent Selection,0.279552474,pacific_joes_pacific_lq
pacific,marine,joes,lake,pacific,marine,lq,benthic,Parallel Divergent Selection,0.31863571,pacific_joes_pacific_lq
pacific,marine,joes,stream,pacific,marine,lq,benthic,Parallel Divergent Selection,0.361483635,pacific_joes_pacific_lq
pacific,marine,joes,lake,pacific,marine,misty,lake,Parallel Divergent Selection,0.583550107,pacific_joes_pacific_misty
pacific,marine,joes,lake,pacific,marine,misty,stream,Parallel Divergent Selection,0.589588564,pacific_joes_pacific_misty
pacific,marine,joes,stream,pacific,marine,misty,stream,Parallel Divergent Selection,0.596118611,pacific_joes_pacific_misty
pacific,marine,joes,stream,pacific,marine,misty,lake,Parallel Divergent Selection,0.602782217,pacific_joes_pacific_misty
pacific,marine,joes,lake,pacific,marine,mud,lake,Parallel Divergent Selection,0.406078593,pacific_joes_pacific_mud
pacific,marine,joes,stream,pacific,marine,mud,lake,Parallel Divergent Selection,0.442724047,pacific_joes_pacific_mud
pacific,marine,joes,lake,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.290389415,pacific_joes_pacific_pax
pacific,marine,joes,lake,pacific,marine,pax,benthic,Parallel Divergent Selection,0.298449874,pacific_joes_pacific_pax
pacific,marine,joes,stream,pacific,marine,pax,limnetic,Parallel Divergent Selection,0.336408631,pacific_joes_pacific_pax
pacific,marine,joes,stream,pacific,marine,pax,benthic,Parallel Divergent Selection,0.347214865,pacific_joes_pacific_pax
pacific,marine,joes,lake,pacific,marine,pcr,lake,Parallel Divergent Selection,0.464163741,pacific_joes_pacific_pcr
pacific,marine,joes,stream,pacific,marine,pcr,lake,Parallel Divergent Selection,0.505730841,pacific_joes_pacific_pcr
pacific,marine,joes,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.29338656,pacific_joes_pacific_pri
pacific,marine,joes,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.318750738,pacific_joes_pacific_pri
pacific,marine,joes,stream,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.342788512,pacific_joes_pacific_pri
pacific,marine,joes,stream,pacific,marine,pri,benthic,Parallel Divergent Selection,0.378849277,pacific_joes_pacific_pri
pacific,marine,joes,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.580555563,pacific_joes_pacific_roberts
pacific,marine,joes,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.596837058,pacific_joes_pacific_roberts
