chr,midpos,nsites_fly,fst_fly,top_5_fly,nsites_crow,fst_crow,top_5_crow,nsites_will,fst_will,top_5_will,nsites_black,fst_black,top_5_black,nsites_green,fst_green,top_5_green,nsites_blue,fst_blue,top_5_blue,nsites_swain,fst_swain,top_5_swain,nsites_stone,fst_stone,top_5_stone
Chromosome_1,50001,89256,0.570067,1,3180,0.008977,0,71413,0.028097,0,72187,0.017857,0,2377,0.094574,0,57918,0.030301,0,1546,0.06646506,0,486,0.22197804,0
Chromosome_1,150001,55082,0.722995,1,NA,NA,NA,53318,0.029876,0,53364,0.017969,0,4912,0.204359,0,31810,0.027111,0,776,0.06642298,0,158,0.24782024,0
Chromosome_1,250001,60548,0.283223,0,92,0.028164,0,16103,0.034186,0,19812,0.014026,0,216,0.055477,0,7663,0.02819,0,30,0.05096136,0,56,0.27982445,0
Chromosome_1,350001,54865,0.218769,0,6307,0.006565,0,14462,0.036136,0,13402,0.016737,0,NA,NA,NA,5465,0.025278,0,29,0.07831236,0,121,0.16079232,0
Chromosome_1,450001,63653,0.254853,0,256,0.021882,0,1400,0.049342,1,930,0.021485,0,1540,0.293206,0,24982,0.025559,0,312,0.06921409,0,295,0.22958845,0
Chromosome_1,550001,55086,0.205294,0,44,0.036766,0,5436,0.038966,1,308,0.021753,0,444,0.029864,0,14402,0.028338,0,112,0.08119319,0,177,0.23637052,0
Chromosome_1,650001,51344,0.183721,0,219,0.052331,0,15492,0.034247,0,759,0.024564,0,42,0.038272,0,9990,0.02341,0,141,0.07096177,0,199,0.25611574,0
Chromosome_1,750001,61220,0.190293,0,871,0.022503,0,1086,0.053629,1,1977,0.012365,0,19,0.015176,0,13928,0.025238,0,14,0.07623228,0,134,0.14458306,0
Chromosome_1,850001,47284,0.196076,0,157,0.018914,0,332,0.045896,1,348,0.012358,0,NA,NA,NA,10548,0.030138,0,103,0.0549096,0,182,0.24550738,0
Chromosome_1,950001,57619,0.197103,0,NA,NA,NA,6121,0.031459,0,351,0.004158,0,416,0.187585,0,12475,0.024896,0,36,0.06381681,0,298,0.1717394,0
Chromosome_1,1050001,72447,0.198406,0,34829,0.029687,0,40836,0.032977,0,510,0.010713,0,1253,0.055692,0,25647,0.023743,0,152,0.05465793,0,482,0.20366006,0
Chromosome_1,1150001,82711,0.197582,0,36169,0.031868,0,36207,0.032618,0,782,0.012211,0,434,0.216538,0,25115,0.027325,0,459,0.05386508,0,374,0.27808457,0
Chromosome_1,1250001,85112,0.195565,0,884,0.042461,0,892,0.017099,0,384,0.008067,0,967,0.074528,0,39386,0.029326,0,411,0.07308824,0,NA,NA,NA
Chromosome_1,1350001,71601,0.165875,0,139,0.017466,0,13914,0.02595,0,472,0.008511,0,163,0.115068,0,13307,0.025081,0,4,0.02423693,0,396,0.18045571,0
